-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  47.5126   Longitude -100.4694 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 575.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,94.85,95.19,94.89,94.61,94.57,94.64,94.7,94.79,94.91,94.52,94.79,94.53,94.75
PS,2002,94.54,94.93,95.1,94.74,94.78,94.51,94.73,94.73,94.53,95.11,94.67,94.46,94.74
PS,2003,95.26,94.82,94.51,94.64,94.71,94.56,94.72,94.89,94.64,94.61,94.68,94.59,94.72
PS,2004,95.04,94.93,94.84,94.83,94.47,94.81,94.74,94.83,94.61,94.52,95.02,94.68,94.78
PS,2005,95.25,94.94,94.53,94.64,94.58,94.25,94.67,94.75,94.68,94.88,94.51,94.6,94.69
PS,2006,94.29,94.94,94.96,94.45,94.55,94.86,94.66,94.78,94.68,94.66,94.71,94.87,94.7
PS,2007,94.78,94.82,94.83,94.91,94.61,94.46,94.73,94.71,94.58,94.71,94.82,94.68,94.72
PS,2008,94.55,94.68,94.78,94.65,94.49,94.45,94.54,94.54,94.91,95.06,94.76,94.63,94.67
PS,2009,94.83,94.96,94.72,94.83,94.61,94.58,94.84,94.72,94.87,94.68,94.71,94.97,94.78
PS,2010,94.95,95.18,94.74,94.36,94.5,94.54,94.55,94.42,94.7,94.69,94.65,94.93,94.68
PS,2011,94.87,94.71,94.99,94.28,94.51,94.39,94.57,94.58,94.97,94.58,94.42,94.81,94.64
PS,2012,94.54,94.94,94.14,94.64,94.53,94.34,94.73,94.79,94.88,94.63,94.95,94.6,94.64
PS,2013,94.78,94.72,95.08,94.8,94.76,94.64,94.87,94.86,94.54,94.77,94.95,94.98,94.81
PS,2014,94.58,94.82,94.81,94.58,94.72,94.33,94.85,94.77,94.82,94.56,94.75,94.95,94.71
PS,2015,95.1,95.24,94.93,94.69,94.95,94.71,94.47,94.63,94.62,94.85,94.58,94.47,94.77
PS,2016,94.67,94.74,94.46,94.78,94.64,94.72,94.58,94.75,94.8,94.63,94.76,94.74,94.69
PS,2017,94.65,94.45,95.01,94.75,94.54,94.4,94.82,94.95,94.76,94.52,94.71,95.06,94.72
PS,2018,95.07,95.05,94.97,95.07,94.62,94.47,95.02,94.66,94.92,94.93,94.84,94.84,94.87
PS,2019,94.91,95.17,95.18,94.63,94.67,94.52,94.75,94.72,94.56,94.61,94.88,94.63,94.77
PS,2020,94.79,94.8,94.78,94.61,94.93,94.35,94.65,94.62,94.85,94.86,94.56,94.76,94.72
PS,2021,94.8,94.98,94.81,94.74,94.96,94.52,94.86,94.52,94.58,94.63,94.74,94.23,94.69
PS,2022,94.88,95.12,94.77,94.44,94.32,94.48,94.67,94.81,94.84,94.69,94.76,94.72,94.71
PS,2023,94.69,94.51,94.96,94.65,94.83,94.58,94.74,94.77,94.79,94.89,94.79,94.79,94.75
PS,2024,94.82,94.44,94.79,94.49,94.21,94.43,94.68,95.01,94.59,94.88,94.64,94.84,94.65
PS,2025,95.1,95.22,94.31,94.72,94.7,94.56,94.79,94.95,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2001,-7.71,-12.69,-0.87,6.32,13.83,17.5,22.06,22.65,15.37,5.66,3.01,-6.63,6.66
T2M,2002,-7.12,-3.24,-7.59,4.02,10.35,19.77,24.18,20.87,15.98,1.69,-1.31,-5.58,6.04
T2M,2003,-11.38,-11.64,-3.77,7.38,12.41,17.22,22.56,23.81,14.27,9.42,-4.6,-5.21,5.99
T2M,2004,-15.14,-8.05,0.96,6.35,10.62,16.23,20.89,17.44,15.63,6.72,0.66,-6.46,5.52
T2M,2005,-13.69,-5.71,-0.98,8.27,11.67,19.08,22.0,19.4,16.19,7.25,-0.77,-6.93,6.37
T2M,2006,-3.04,-8.07,-1.4,9.58,14.32,19.51,25.14,21.8,13.83,4.22,-1.47,-5.15,7.53
T2M,2007,-8.39,-11.3,1.7,5.16,13.74,19.09,23.98,19.58,14.89,8.08,-0.94,-8.43,6.54
T2M,2008,-10.92,-10.49,-1.3,5.28,11.63,16.58,21.94,21.6,14.06,6.81,-2.32,-14.36,4.92
