-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  35.6385   Longitude -97.5086 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 359.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,97.89,97.77,97.48,97.28,97.16,97.22,97.19,97.37,97.46,97.51,97.63,97.58,97.46
PS,2002,97.59,97.93,97.48,97.3,97.24,97.23,97.41,97.35,97.27,97.54,97.7,97.49,97.46
PS,2003,98.07,97.48,97.07,97.01,97.04,97.08,97.29,97.34,97.48,97.4,97.54,97.58,97.37
PS,2004,97.68,97.75,97.7,97.27,97.06,97.29,97.25,97.39,97.44,97.16,97.65,97.78,97.45
PS,2005,97.93,97.7,97.1,97.13,97.19,97.0,97.36,97.26,97.42,97.56,97.42,97.62,97.39
PS,2006,97.37,97.69,97.36,96.98,97.06,97.33,97.28,97.21,97.32,97.29,97.5,97.79,97.35
PS,2007,97.99,97.46,97.49,97.32,97.32,97.1,97.32,97.28,97.46,97.38,97.77,97.57,97.46
PS,2008,97.73,97.35,97.3,97.14,96.84,97.04,97.2,97.16,97.53,97.72,97.62,97.64,97.36
PS,2009,97.72,97.62,97.29,97.06,97.26,96.92,97.22,97.35,97.42,97.21,97.58,97.54,97.35
PS,2010,97.75,97.58,97.15,96.99,97.03,97.07,97.23,97.11,97.25,97.49,97.45,97.58,97.31
PS,2011,97.67,97.52,97.35,96.68,96.83,96.82,97.0,96.92,97.41,97.47,97.47,97.9,97.25
PS,2012,97.63,97.67,97.19,97.1,97.04,97.03,97.22,97.17,97.37,97.36,97.78,97.34,97.32
PS,2013,97.83,97.42,97.49,97.18,97.14,97.13,97.35,97.38,97.27,97.41,97.97,97.81,97.45
PS,2014,97.75,97.59,97.46,97.05,97.12,96.98,97.45,97.25,97.48,97.29,97.72,97.81,97.41
PS,2015,98.13,97.9,97.73,97.09,97.32,97.21,97.14,97.29,97.32,97.54,97.56,97.27,97.46
PS,2016,97.61,97.63,97.16,97.22,97.25,97.29,97.18,97.3,97.48,97.47,97.64,97.84,97.42
PS,2017,97.44,97.24,97.52,97.0,97.0,97.05,97.35,97.34,97.38,97.48,97.54,97.93,97.36
PS,2018,98.1,97.75,97.38,97.4,97.08,97.03,97.42,97.29,97.39,97.52,97.57,97.58,97.46
PS,2019,97.74,97.49,97.78,97.03,96.93,97.13,97.3,97.14,97.29,97.42,97.64,97.59,97.37
PS,2020,97.66,97.63,97.45,97.19,97.22,97.16,97.15,97.21,97.49,97.55,97.78,97.61,97.42
PS,2021,97.64,97.74,97.43,97.27,97.39,97.14,97.4,97.25,97.29,97.2,97.79,97.16,97.39
PS,2022,97.88,97.93,97.28,97.07,96.84,97.21,97.15,97.25,97.4,97.49,97.71,97.65,97.4
PS,2023,97.42,97.46,97.31,97.25,97.24,96.92,97.21,97.2,97.25,97.41,97.65,97.68,97.33
PS,2024,97.65,97.23,97.11,97.05,96.8,97.02,97.29,97.39,97.3,97.65,97.32,97.77,97.3
PS,2025,98.02,97.77,96.96,97.2,97.08,97.16,97.31,97.43,-999.0,-999.0,-999.0,-999.0,-999.0
T2M,2001,1.34,4.27,7.59,17.81,21.14,25.6,31.47,29.32,21.76,15.8,12.14,5.41,16.2
T2M,2002,3.59,3.9,8.13,16.72,19.81,25.39,28.11,28.32,23.89,13.59,7.82,3.29,15.27
T2M,2003,1.83,3.07,9.33,16.45,21.81,23.98,30.59,30.11,21.21,17.42,10.02,4.77,15.97
T2M,2004,3.32,3.86,12.41,16.02,22.9,24.06,26.43,25.06,24.26,17.6,9.35,4.21,15.83
T2M,2005,2.58,6.89,9.59,15.81,21.07,26.5,27.92,27.74,25.27,16.9,11.29,2.97,16.25
T2M,2006,7.86,4.93,12.12,19.66,22.63,27.2,30.68,30.05,21.79,16.14,9.83,4.63,17.37
T2M,2007,0.2,4.15,14.35,13.24,20.44,23.63,25.32,26.7,22.54,16.6,9.56,2.04,14.96
T2M,2008,2.69,3.9,9.84,14.15,20.48,25.71,28.27,26.6,21.66,15.89,9.16,2.81,15.13
T2M,2009,1.64,7.8,11.21,15.35,19.37,27.07,28.53,26.35,21.44,12.92,11.06,0.49,15.29
T2M,2010,0.55,1.32,8.99,16.51,20.78,27.44,28.05,30.08,24.21,17.24,9.6,3.38,15.76
T2M,2011,1.11,4.24,11.63,18.15,20.91,30.74,34.39,33.13,22.96,16.78,9.14,4.11,17.35
T2M,2012,4.84,6.48,15.04,18.59,23.16,26.77,31.95,29.01,24.51,15.94,11.57,5.24,17.79
T2M,2013,3.79,4.76,8.7,12.78,19.92,25.21,26.84,27.04,24.78,15.9,7.75,0.62,14.89
T2M,2014,1.54,2.35,7.76,16.03,22.01,25.52,26.9,28.75,24.11,18.78,6.73,5.08,15.54
T2M,2015,2.84,2.61,10.96,16.69,19.36,25.41,27.13,25.62,24.76,17.46,10.35,5.53,15.8
T2M,2016,1.99,7.8,12.41,16.44,19.59,26.28,28.78,27.91,24.34,19.58,12.86,3.12,16.77
T2M,2017,4.29,9.42,13.69,16.2,20.1,26.13,29.57,25.55,23.57,16.36,11.06,3.93,16.69
T2M,2018,1.9,4.32,11.4,12.62,24.21,27.48,29.09,27.29,23.24,15.39,6.28,4.04,15.68
T2M,2019,2.47,3.45,8.27,16.02,20.12,23.89,26.53,27.86,26.28,13.88,7.33,5.3,15.18
T2M,2020,4.72,4.63,12.8,14.34,19.81,26.17,28.7,27.26,21.43,14.43,11.39,4.16,15.85
T2M,2021,3.29,-0.08,12.15,14.31,19.11,25.36,26.87,27.74,26.06,18.34,10.48,9.77,16.22
T2M,2022,2.07,3.32,10.21,16.52,22.02,26.86,32.19,29.3,25.5,17.54,8.63,4.18,16.61
T2M,2023,5.29,6.32,9.99,15.08,21.08,25.76,28.21,30.22,26.2,17.52,10.55,6.59,16.96
T2M,2024,0.51,9.13,12.71,17.66,22.13,27.93,28.68,29.7,24.81,21.0,11.6,6.99,17.75
T2M,2025,0.74,3.3,13.28,16.92,19.97,25.47,27.4,26.74,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MAX,2001,15.46,19.41,22.29,28.58,31.23,33.79,42.85,40.13,34.26,29.87,27.54,23.46,42.85
T2M_MAX,2002,20.76,23.56,28.65,30.8,33.11,35.47,39.04,37.99,37.2,32.55,26.0,19.19,39.04
T2M_MAX,2003,18.9,23.95,26.08,30.76,38.82,34.41,42.39,40.51,32.37,32.27,27.6,18.45,42.39
T2M_MAX,2004,22.15,20.8,27.48,29.95,35.29,35.36,38.76,36.79,36.92,29.79,23.1,20.24,38.76
T2M_MAX,2005,19.84,23.35,25.46,28.85,37.11,38.13,40.08,38.5,35.29,32.05,28.8,19.99,40.08
T2M_MAX,2006,22.23,26.57,30.6,37.66,38.27,39.99,42.12,42.24,34.34,33.88,27.63,20.68,42.24
T2M_MAX,2007,18.99,23.67,26.51,27.25,29.66,31.79,32.14,35.6,31.53,30.08,24.75,18.57,35.6
T2M_MAX,2008,20.7,21.8,26.54,28.8,32.34,34.17,39.23,40.66,32.14,30.35,26.47,22.72,40.66
T2M_MAX,2009,20.05,24.73,27.91,32.38,32.29,39.74,42.07,37.26,33.96,26.69,23.52,15.19,42.07
T2M_MAX,2010,18.47,14.83,29.12,28.93,32.63,36.3,37.93,41.22,36.75,31.48,24.09,20.12,41.22
T2M_MAX,2011,22.17,25.49,30.32,34.99,37.1,42.14,44.77,45.0,40.78,31.52,24.0,20.1,45.0
T2M_MAX,2012,19.88,22.65,29.4,32.32,34.87,41.58,44.5,46.63,40.75,31.61,29.11,25.42,46.63
T2M_MAX,2013,24.24,20.19,27.17,29.87,32.09,37.39,39.81,39.24,37.55,32.08,24.45,18.62,39.81
T2M_MAX,2014,20.22,21.96,27.44,31.97,36.83,37.06,39.99,39.74,37.34,34.35,24.68,19.44,39.99
T2M_MAX,2015,23.17,23.82,28.43,30.26,28.52,34.24,35.36,36.75,36.9,32.88,24.83,19.95,36.9
T2M_MAX,2016,19.77,25.44,26.36,28.37,30.88,35.48,38.86,38.88,35.08,31.93,28.76,22.19,38.88
T2M_MAX,2017,22.03,28.61,31.39,29.15,32.92,36.72,40.88,35.59,35.78,30.94,25.92,23.18,40.88
T2M_MAX,2018,18.98,24.29,24.53,30.23,34.56,36.41,44.3,37.33,36.2,30.89,20.47,16.8,44.3
T2M_MAX,2019,17.61,20.49,22.61,29.01,29.12,32.55,35.1,37.7,35.15,32.02,21.88,18.97,37.7
T2M_MAX,2020,19.77,21.9,30.18,30.36,33.94,34.98,38.42,40.07,33.25,32.92,25.14,19.23,40.07
