-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  39.0523   Longitude -105.5478 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2770.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,72.47,72.29,72.39,72.47,72.91,73.14,73.44,73.55,73.31,72.89,72.74,72.28,72.83
PS,2002,72.32,72.59,72.3,72.54,72.77,73.12,73.51,73.39,73.12,72.75,72.75,72.33,72.79
PS,2003,72.85,72.07,72.21,72.34,72.83,72.97,73.56,73.58,73.18,73.06,72.47,72.4,72.8
PS,2004,72.39,72.24,72.79,72.61,72.75,73.15,73.4,73.37,73.12,72.69,72.72,72.55,72.82
PS,2005,72.53,72.47,72.23,72.51,72.76,72.9,73.48,73.43,73.28,72.96,72.64,72.35,72.8
PS,2006,72.41,72.41,72.2,72.55,72.93,73.35,73.53,73.42,73.05,72.75,72.63,72.59,72.82
PS,2007,72.36,72.16,72.68,72.45,72.88,73.11,73.5,73.41,73.2,72.91,72.82,72.18,72.81
PS,2008,72.14,72.15,72.35,72.39,72.57,73.04,73.35,73.27,73.28,73.1,72.75,72.1,72.71
PS,2009,72.55,72.42,72.26,72.38,72.9,72.98,73.44,73.41,73.3,72.45,72.78,72.03,72.74
PS,2010,72.29,72.09,72.33,72.23,72.53,73.12,73.35,73.34,73.22,73.04,72.42,72.29,72.69
PS,2011,72.31,72.15,72.39,72.21,72.46,72.95,73.39,73.43,73.4,72.9,72.5,72.55,72.72
PS,2012,72.52,72.27,72.44,72.61,72.82,73.05,73.52,73.48,73.4,72.8,72.88,72.11,72.83
PS,2013,72.43,72.16,72.49,72.32,72.82,73.14,73.43,73.52,73.12,72.75,72.75,72.34,72.78
