-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  46.4555   Longitude -94.2008 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 394.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,96.89,97.31,97.04,96.67,96.57,96.72,96.85,96.88,97.1,96.55,96.82,96.59,96.83
PS,2002,96.6,96.9,97.16,96.85,96.88,96.64,96.88,96.95,96.69,97.16,96.72,96.6,96.84
PS,2003,97.28,96.93,96.58,96.85,96.84,96.63,96.73,97.06,96.72,96.61,96.77,96.81,96.82
PS,2004,97.22,97.18,96.93,96.87,96.58,96.82,96.82,96.85,96.83,96.62,97.19,96.85,96.89
PS,2005,97.51,97.08,96.62,96.76,96.66,96.42,96.82,96.84,96.84,97.04,96.43,96.67,96.81
PS,2006,96.46,97.06,97.16,96.63,96.51,96.94,96.69,96.95,96.7,96.61,96.96,96.94,96.8
PS,2007,96.86,96.98,97.01,96.92,96.88,96.61,96.79,96.79,96.71,96.67,96.93,96.9,96.84
PS,2008,96.78,96.85,97.02,96.74,96.51,96.43,96.59,96.83,97.04,97.21,96.79,96.76,96.8
PS,2009,96.88,97.06,96.93,96.91,96.7,96.59,96.77,96.77,97.15,96.73,96.95,96.96,96.86
PS,2010,97.18,97.33,96.88,96.52,96.74,96.61,96.63,96.53,96.72,96.68,96.75,97.11,96.8
PS,2011,96.97,96.81,97.26,96.36,96.62,96.54,96.67,96.62,97.02,96.77,96.6,96.93,96.76
PS,2012,96.6,97.02,96.49,96.88,96.6,96.49,96.8,96.82,96.88,96.58,97.1,96.82,96.75
PS,2013,96.89,96.88,97.2,96.8,96.86,96.7,96.88,96.93,96.73,96.7,97.08,97.08,96.9
