-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  42.1204   Longitude -93.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 310.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,98.19,98.47,98.12,97.73,97.58,97.82,97.85,97.94,98.13,97.86,98.0,97.9,97.96
PS,2002,97.84,98.11,98.15,97.91,97.9,97.71,97.93,98.05,97.87,98.22,97.99,97.9,97.97
PS,2003,98.52,98.11,97.65,97.63,97.74,97.68,97.79,98.06,97.97,97.83,97.99,98.01,97.92
PS,2004,98.3,98.33,98.13,97.87,97.55,97.89,97.8,97.93,98.09,97.75,98.35,98.06,98.0
PS,2005,98.62,98.22,97.63,97.68,97.77,97.52,97.9,97.91,98.01,98.17,97.61,97.93,97.91
PS,2006,97.61,98.19,98.05,97.49,97.56,97.9,97.81,97.91,97.76,97.8,98.07,98.2,97.86
PS,2007,98.21,98.07,98.02,97.84,97.99,97.74,97.87,97.77,98.02,97.8,98.2,98.07,97.97
PS,2008,98.06,97.96,98.04,97.69,97.41,97.51,97.72,97.93,98.2,98.31,97.96,98.03,97.9
PS,2009,98.12,98.21,98.0,97.81,97.83,97.51,97.84,97.88,98.21,97.73,98.06,97.9,97.92
PS,2010,98.34,98.22,97.81,97.43,97.77,97.63,97.75,97.73,97.81,97.92,97.9,98.17,97.87
PS,2011,98.12,98.01,98.18,97.27,97.49,97.45,97.71,97.68,98.06,97.94,97.85,98.25,97.84
PS,2012,97.9,98.16,97.65,97.77,97.68,97.59,97.77,97.84,98.0,97.74,98.28,97.85,97.85
PS,2013,98.24,97.9,98.16,97.74,97.71,97.62,98.0,98.01,97.83,97.81,98.38,98.23,97.97
PS,2014,97.97,98.21,98.02,97.52,97.73,97.54,97.96,97.83,98.12,97.75,98.0,98.4,97.92
PS,2015,98.42,98.53,98.35,97.75,97.96,97.69,97.71,97.86,97.95,98.14,97.96,97.67,98.0
PS,2016,98.04,97.99,97.65,97.79,97.87,97.8,97.81,97.94,98.02,98.03,98.06,98.28,97.94
PS,2017,97.91,97.72,98.29,97.66,97.46,97.55,97.9,97.98,97.97,97.8,98.14,98.29,97.89
PS,2018,98.47,98.4,98.12,98.06,97.66,97.52,98.13,97.79,98.1,98.06,98.12,98.04,98.04
PS,2019,98.28,98.24,98.34,97.61,97.55,97.64,97.85,97.86,97.83,97.85,98.09,97.86,97.92
PS,2020,98.22,98.21,98.05,97.7,97.91,97.65,97.8,97.82,98.03,98.13,98.13,98.03,97.97
PS,2021,98.09,98.47,98.14,97.68,98.12,97.64,97.98,97.82,97.79,97.73,98.13,97.59,97.93
PS,2022,98.34,98.37,97.81,97.56,97.52,97.75,97.77,97.89,98.06,97.96,98.09,97.99,97.92
PS,2023,97.92,97.84,97.95,97.68,97.95,97.57,97.77,97.78,97.93,97.87,98.16,98.02,97.87
PS,2024,98.12,97.76,97.72,97.53,97.38,97.57,97.86,98.07,98.02,98.23,97.89,98.28,97.87
