-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2025 in LST
Location: Latitude  36.5328   Longitude -119.2702 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 249.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2001,98.99,98.67,98.57,98.57,98.27,98.25,98.23,98.28,98.18,98.53,98.77,98.98,98.52
PS,2002,99.09,99.11,98.82,98.54,98.37,98.12,98.23,98.25,98.12,98.39,98.9,98.94,98.57
PS,2003,99.12,98.58,98.71,98.53,98.35,98.03,98.25,98.33,98.19,98.39,98.84,98.93,98.52
PS,2004,98.99,98.85,98.68,98.51,98.38,98.19,98.22,98.27,98.21,98.31,98.93,98.87,98.53
PS,2005,98.82,98.64,98.75,98.6,98.34,98.1,98.12,98.17,98.34,98.49,98.87,99.0,98.52
PS,2006,99.11,98.87,98.57,98.46,98.32,98.26,98.17,98.2,98.26,98.46,98.83,99.18,98.55
PS,2007,99.11,98.9,98.81,98.55,98.33,98.22,98.19,98.11,98.28,98.61,98.73,99.13,98.58
PS,2008,98.85,98.89,98.97,98.69,98.26,98.23,98.1,98.0,98.2,98.66,98.88,98.87,98.55
PS,2009,99.19,98.76,98.72,98.58,98.32,98.1,98.21,98.29,98.27,98.41,98.69,98.78,98.53
PS,2010,98.54,98.57,98.75,98.46,98.51,98.26,98.1,98.1,98.13,98.62,98.9,98.64,98.47
PS,2011,99.05,98.88,98.77,98.63,98.46,98.15,98.06,98.14,98.27,98.52,98.78,99.12,98.57
PS,2012,99.12,98.86,98.65,98.54,98.33,98.09,98.22,98.1,98.37,98.51,98.83,98.78,98.53
PS,2013,99.17,99.0,98.75,98.51,98.4,98.1,98.15,98.23,98.15,98.49,98.72,99.04,98.56
